product_code,product_name,product_type,bey_count,launcher_included,stadium_included,price_median_mxn,blade_weight_g,meta_rank,meta_first_rate_pct,meta_win_share_pct,meta_usage_pct,meta_top_cuts,scenario_id,ingreso_personal_mensual_mxn,precio_ingreso_ratio,precio_ingreso_pct,precio por_bey,score_compra,ruido_decision,score_final,comprar
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_01,4001,0.14996250937265684,14.996250937265684,600.0,0.5,0.3725356147584245,0.8725356147584244,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_02,4500,0.13333333333333333,13.333333333333334,600.0,0.5,-0.10369822587838849,0.3963017741216115,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_03,5000,0.12,12.0,600.0,1.5,0.48576640357551937,1.9857664035755194,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_04,5500,0.10909090909090909,10.909090909090908,600.0,1.5,1.142272392306019,2.642272392306019,1
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_05,6000,0.1,10.0,600.0,1.5,-0.17561503104250198,1.324384968957498,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_06,6500,0.09230769230769231,9.230769230769232,600.0,1.5,-0.1756027177118854,1.3243972822881145,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_07,7000,0.08571428571428572,8.571428571428571,600.0,1.5,1.1844096116305436,2.6844096116305436,1
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_08,7500,0.08,8.0,600.0,2.5,0.5755760468646816,3.075576046864682,1
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_09,8000,0.075,7.5,600.0,2.5,-0.35210578945121407,2.147894210548786,0
BX-01,Dran Sword 3-60F,Starter,1,1,0,600.0,34.6,33.0,27.2,1.4,1.8,173,LOW_10,8500,0.07058823529411765,7.0588235294117645,600.0,2.5,0.4069200326894735,2.9069200326894737,1
